ToM Mastery Load Effects by Category
============================================================================================================================================

=== Self: Knowledge vs Belief ===
Distinguishing own knowledge from mere belief
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
google-gemini-3-flash-preview_nothink         |   1040 |  45.0% (100) |  44.0% (100) |  46.0% (100) |  39.0% (100) |  43.5% (400)
google-gemini-3-pro-preview_think             |   1037 |  93.9% ( 99) |  91.9% ( 99) |  92.0% (100) |  90.9% ( 99) |  92.2% (397)
google-gemini-3.1-pro-preview_think           |   1039 |  96.0% (100) |  97.0% (100) |  95.0% (100) | 100.0% ( 99) |  97.0% (399)
x-ai-grok-3                                   |   1040 |  39.0% (100) |  37.0% (100) |  39.0% (100) |  48.0% (100) |  40.8% (400)
x-ai-grok-4-fast                              |   1040 |  82.0% (100) |  82.0% (100) |  79.0% (100) |  81.0% (100) |  81.0% (400)
deepseek-r1                                   |   1026 |  83.0% (100) |  82.0% (100) |  82.8% ( 99) |  80.0% (100) |  82.0% (399)
deepseek-chat-v3-0324                         |   1040 |  34.0% (100) |  31.0% (100) |  36.0% (100) |  36.0% (100) |  34.2% (400)
deepseek-chat-v3-0324 (CoT)                   |   1030 |  64.0% (100) |  64.0% (100) |  62.0% (100) |  63.6% ( 99) |  63.4% (399)
deepseek-chat-v3.1                            |   1040 |  48.0% (100) |  49.0% (100) |  39.0% (100) |  35.0% (100) |  42.8% (400)
deepseek-v3.2                                 |   1040 |  41.0% (100) |  32.0% (100) |  35.0% (100) |  31.0% (100) |  34.8% (400)
kimi-k2-0905                                  |   1040 |  33.0% (100) |  44.0% (100) |  37.0% (100) |  37.0% (100) |  37.8% (400)
kimi-k2-0905 (CoT)                            |   1040 |  11.0% (100) |  19.0% (100) |  15.0% (100) |  17.0% (100) |  15.5% (400)
qwen3-235b-a22b                               |   1040 |  40.0% (100) |  41.0% (100) |  40.0% (100) |  44.0% (100) |  41.2% (400)
qwen3-235b-a22b (CoT)                         |   1040 |  35.0% (100) |  28.0% (100) |  33.0% (100) |  37.0% (100) |  33.2% (400)
qwen3-next-80b-a3b-instruct                   |   1040 |  43.0% (100) |  48.0% (100) |  48.0% (100) |  46.0% (100) |  46.2% (400)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40458 |  60.2% (3896) |  59.0% (3897) |  59.7% (3896) |  59.4% (3887) |  59.6% (15576)

=== Strategic Lies ===
Knowing when lying is strategically effective vs. unnecessary
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-3.5-sonnet                   |   1040 |   5.0% ( 60) |   0.0% ( 60) |   1.7% ( 60) |   1.7% ( 60) |   2.1% (240)
anthropic-claude-3.7-sonnet                   |   1040 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
anthropic-claude-3.7-sonnet:thinking          |   1040 |  56.7% ( 60) |  41.7% ( 60) |  56.7% ( 60) |  63.3% ( 60) |  54.6% (240)
anthropic-claude-sonnet-4                     |   1027 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
anthropic-claude-sonnet-4_think               |   1040 |  58.3% ( 60) |  55.0% ( 60) |  56.7% ( 60) |  66.7% ( 60) |  59.2% (240)
anthropic-claude-sonnet-4.5                   |   1014 |   5.0% ( 60) |   3.5% ( 57) |   3.5% ( 57) |   5.4% ( 56) |   4.3% (230)
anthropic-claude-sonnet-4.5_think             |   1040 |  56.7% ( 60) |  65.0% ( 60) |  58.3% ( 60) |  88.3% ( 60) |  67.1% (240)
anthropic-claude-sonnet-4.6_think             |   1040 |   0.0% ( 60) |   1.7% ( 60) |   6.7% ( 60) |   0.0% ( 60) |   2.1% (240)
anthropic-claude-opus-4_think                 |   1008 |  55.0% ( 60) |  65.0% ( 60) |  56.7% ( 60) |  85.0% ( 60) |  65.4% (240)
anthropic-claude-opus-4.6                     |   1040 |   3.3% ( 60) |  21.7% ( 60) |  38.3% ( 60) |   3.3% ( 60) |  16.7% (240)
anthropic-claude-opus-4.6 (CoT)               |   1040 |  51.7% ( 60) |  55.0% ( 60) |  58.3% ( 60) |  70.0% ( 60) |  58.8% (240)
anthropic-claude-opus-4.6_think               |   1040 |  50.0% ( 60) |  51.7% ( 60) |  51.7% ( 60) |  61.7% ( 60) |  53.8% (240)
openai-gpt-4-turbo                            |   1040 |  43.3% ( 60) |  41.7% ( 60) |  46.7% ( 60) |  50.0% ( 60) |  45.4% (240)
openai-gpt-4.1                                |   1040 |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% (240)
openai-gpt-4.1-mini                           |   1040 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   1.7% ( 60) |   0.4% (240)
openai-gpt-4o                                 |   1040 |  38.3% ( 60) |  43.3% ( 60) |  43.3% ( 60) |  18.3% ( 60) |  35.8% (240)
openai-gpt-4o-mini                            |   1040 |  50.0% ( 60) |  48.3% ( 60) |  48.3% ( 60) |  43.3% ( 60) |  47.5% (240)
openai-gpt-5-chat                             |   1040 |  41.7% ( 60) |  48.3% ( 60) |  45.0% ( 60) |  36.7% ( 60) |  42.9% (240)
openai-gpt-5-chat (CoT)                       |   1040 |  63.3% ( 60) |  81.7% ( 60) |  80.0% ( 60) |  85.0% ( 60) |  77.5% (240)
openai-gpt-5-chat (CoT) (lose)                |   1040 |  78.3% ( 60) |  83.3% ( 60) |  81.7% ( 60) |  93.3% ( 60) |  84.2% (240)
openai-gpt-5.2-chat                           |   1040 |  55.0% ( 60) |  61.7% ( 60) |  65.0% ( 60) |  76.7% ( 60) |  64.6% (240)
openai-gpt-5.2_lowthink                       |   1040 |  50.0% ( 60) |  50.0% ( 60) |  65.0% ( 60) |  50.0% ( 60) |  53.8% (240)
openai-gpt-5.2_think                          |   1040 |  50.0% ( 60) |  75.0% ( 60) |  65.0% ( 60) |  75.0% ( 60) |  66.2% (240)
google-gemini-2.5-pro_think                   |   1037 |  40.0% ( 60) |  28.8% ( 59) |  23.3% ( 60) |  18.3% ( 60) |  27.6% (239)
google-gemini-3-flash-preview_nothink         |   1040 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
google-gemini-3-pro-preview_think             |   1037 |  50.0% ( 60) |  60.0% ( 60) |  58.3% ( 60) |  74.6% ( 59) |  60.7% (239)
google-gemini-3.1-pro-preview_think           |   1039 |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  65.0% ( 60) |  53.8% (240)
x-ai-grok-3                                   |   1040 |   0.0% ( 60) |   1.7% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.4% (240)
x-ai-grok-4-fast                              |   1040 |  53.3% ( 60) |  65.0% ( 60) |  70.0% ( 60) |  66.7% ( 60) |  63.7% (240)
deepseek-r1                                   |   1026 |  58.3% ( 60) |  74.1% ( 58) |  64.4% ( 59) |  81.4% ( 59) |  69.5% (236)
deepseek-chat-v3-0324                         |   1040 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
deepseek-chat-v3-0324 (CoT)                   |   1030 |  58.3% ( 60) |  55.0% ( 60) |  61.0% ( 59) |  55.0% ( 60) |  57.3% (239)
deepseek-chat-v3.1                            |   1040 |   1.7% ( 60) |   3.3% ( 60) |   0.0% ( 60) |   3.3% ( 60) |   2.1% (240)
deepseek-v3.2                                 |   1040 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   3.3% ( 60) |   0.8% (240)
kimi-k2-0905                                  |   1040 |   8.3% ( 60) |   1.7% ( 60) |   1.7% ( 60) |   0.0% ( 60) |   2.9% (240)
kimi-k2-0905 (CoT)                            |   1040 |   0.0% ( 60) |   1.7% ( 60) |   0.0% ( 60) |   1.7% ( 60) |   0.8% (240)
qwen3-235b-a22b                               |   1040 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
qwen3-235b-a22b (CoT)                         |   1040 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
qwen3-next-80b-a3b-instruct                   |   1040 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40458 |  30.3% (2340) |  32.9% (2334) |  33.5% (2335) |  35.8% (2334) |  33.1% (9343)
