Scenario   |        Extra |      N |   Accuracy
967        |      Min ECT |      1 |       0.0%
974        |   Event Load |      1 |       0.0%
975        |      Min ECT |      1 |       0.0%
976        |     ECT Load |      1 |       0.0%
977        |   Min Events |      1 |       0.0%
978        |   Event Load |      1 |       0.0%
980        |     ECT Load |      1 |       0.0%
981        |   Min Events |      1 |       0.0%
982        |   Event Load |      1 |       0.0%
983        |      Min ECT |      1 |       0.0%
985        |   Min Events |      1 |       0.0%
986        |   Event Load |      1 |       0.0%
989        |   Min Events |      1 |       0.0%
990        |   Event Load |      1 |       0.0%
991        |      Min ECT |      1 |       0.0%
992        |     ECT Load |      1 |       0.0%
993        |   Min Events |      1 |       0.0%
994        |   Event Load |      1 |       0.0%
995        |      Min ECT |      1 |       0.0%
23         |      Min ECT |     25 |       4.0%
25         |   Min Events |     25 |       4.0%
26         |   Event Load |     25 |       4.0%
30         |   Event Load |     25 |       4.0%
33         |   Min Events |     25 |       4.0%
35         |      Min ECT |     25 |       4.0%
37         |   Min Events |     25 |       4.0%
1          |     ECT Load |     24 |       4.2%
4          |   Event Load |     24 |       4.2%
4          |      Min ECT |     24 |       4.2%
5          |   Event Load |     24 |       4.2%
6          |   Min Events |     24 |       4.2%
6          |     ECT Load |     24 |       4.2%
9          |     ECT Load |     24 |       4.2%
16         |   Event Load |     24 |       4.2%
27         |     ECT Load |     24 |       4.2%
29         |     ECT Load |     24 |       4.2%
30         |      Min ECT |     24 |       4.2%
33         |   Event Load |     24 |       4.2%
33         |      Min ECT |     24 |       4.2%
34         |   Min Events |     24 |       4.2%
34         |      Min ECT |     24 |       4.2%
38         |   Min Events |     24 |       4.2%
39         |   Event Load |     24 |       4.2%
5          |   Min Events |     25 |       8.0%
22         |   Event Load |     25 |       8.0%
27         |      Min ECT |     25 |       8.0%
29         |   Min Events |     25 |       8.0%
34         |   Event Load |     25 |       8.0%
39         |      Min ECT |     25 |       8.0%
28         |   Event Load |     24 |       8.3%
28         |      Min ECT |     24 |       8.3%
31         |   Min Events |     24 |       8.3%
32         |   Event Load |     24 |       8.3%
32         |      Min ECT |     24 |       8.3%
33         |     ECT Load |     24 |       8.3%
36         |      Min ECT |     24 |       8.3%
18         |   Event Load |     25 |      12.0%
19         |      Min ECT |     25 |      12.0%
38         |   Event Load |     25 |      12.0%
2          |   Min Events |     24 |      12.5%
2          |     ECT Load |     24 |      12.5%
3          |     ECT Load |     24 |      12.5%
6          |      Min ECT |     24 |      12.5%
7          |     ECT Load |     24 |      12.5%
8          |   Min Events |     24 |      12.5%
10         |     ECT Load |     24 |      12.5%
19         |   Min Events |     24 |      12.5%
19         |     ECT Load |     24 |      12.5%
21         |   Event Load |     24 |      12.5%
22         |   Min Events |     24 |      12.5%
27         |   Event Load |     24 |      12.5%
29         |      Min ECT |     24 |      12.5%
30         |   Min Events |     24 |      12.5%
31         |   Event Load |     24 |      12.5%
34         |     ECT Load |     24 |      12.5%
35         |     ECT Load |     24 |      12.5%
37         |     ECT Load |     24 |      12.5%
38         |     ECT Load |     24 |      12.5%
39         |     ECT Load |     24 |      12.5%
6          |   Event Load |     25 |      16.0%
17         |   Min Events |     25 |      16.0%
31         |      Min ECT |     25 |      16.0%
17         |   Event Load |     24 |      16.7%
17         |      Min ECT |     24 |      16.7%
17         |     ECT Load |     24 |      16.7%
18         |   Min Events |     24 |      16.7%
18         |      Min ECT |     24 |      16.7%
18         |     ECT Load |     24 |      16.7%
28         |   Min Events |     24 |      16.7%
32         |   Min Events |     24 |      16.7%
36         |   Min Events |     24 |      16.7%
36         |   Event Load |     24 |      16.7%
38         |      Min ECT |     24 |      16.7%
28         |     ECT Load |     25 |      20.0%
36         |     ECT Load |     25 |      20.0%
30         |     ECT Load |     24 |      20.8%
31         |     ECT Load |     24 |      20.8%
8          |     ECT Load |     25 |      24.0%
5          |      Min ECT |     24 |      25.0%
19         |   Event Load |     24 |      25.0%
3          |      Min ECT |     25 |      28.0%
32         |     ECT Load |     25 |      28.0%
1          |   Event Load |     24 |      29.2%
1          |      Min ECT |     24 |      29.2%
8          |   Event Load |     24 |      29.2%
11         |   Min Events |     24 |      29.2%
11         |   Event Load |     24 |      29.2%
2          |   Event Load |     25 |      32.0%
2          |      Min ECT |     24 |      37.5%
7          |   Event Load |     24 |      37.5%
8          |      Min ECT |     24 |      37.5%
10         |      Min ECT |     24 |      41.7%
10         |   Event Load |     25 |      44.0%
9          |   Event Load |     24 |      45.8%
7          |      Min ECT |     25 |      48.0%
11         |      Min ECT |     25 |      48.0%
13         |   Event Load |     24 |      54.2%
1          |   Min Events |     25 |      56.0%
12         |   Min Events |     24 |      58.3%
12         |      Min ECT |     24 |      58.3%
3          |   Event Load |     24 |      62.5%
9          |   Min Events |     25 |      64.0%
10         |   Min Events |     24 |      66.7%
9          |      Min ECT |     24 |      75.0%
13         |   Min Events |     25 |      76.0%
3          |   Min Events |     24 |      83.3%
7          |   Min Events |     24 |      83.3%
12         |   Event Load |     24 |      83.3%
13         |      Min ECT |     24 |      87.5%
12         |     ECT Load |     25 |      96.0%
13         |     ECT Load |     24 |     100.0%
41         |   Min Events |      1 |     100.0%
48         |     ECT Load |      1 |     100.0%
52         |     ECT Load |      1 |     100.0%
65         |   Min Events |      1 |     100.0%
66         |   Event Load |      1 |     100.0%
67         |      Min ECT |      1 |     100.0%
68         |     ECT Load |      1 |     100.0%
69         |   Min Events |      1 |     100.0%
70         |   Event Load |      1 |     100.0%
71         |      Min ECT |      1 |     100.0%
72         |     ECT Load |      1 |     100.0%
73         |   Min Events |      1 |     100.0%
74         |   Event Load |      1 |     100.0%
75         |      Min ECT |      1 |     100.0%
76         |     ECT Load |      1 |     100.0%
111        |      Min ECT |      1 |     100.0%
112        |     ECT Load |      1 |     100.0%
144        |     ECT Load |      1 |     100.0%
157        |   Min Events |      1 |     100.0%
158        |   Event Load |      1 |     100.0%
159        |      Min ECT |      1 |     100.0%
160        |     ECT Load |      1 |     100.0%
161        |   Min Events |      1 |     100.0%
164        |     ECT Load |      1 |     100.0%
165        |   Min Events |      1 |     100.0%
166        |   Event Load |      1 |     100.0%
167        |      Min ECT |      1 |     100.0%
168        |     ECT Load |      1 |     100.0%
173        |   Min Events |      1 |     100.0%
175        |      Min ECT |      1 |     100.0%
177        |   Min Events |      1 |     100.0%
181        |   Min Events |      1 |     100.0%
182        |   Event Load |      1 |     100.0%
183        |      Min ECT |      1 |     100.0%
184        |     ECT Load |      1 |     100.0%
185        |   Min Events |      1 |     100.0%
187        |      Min ECT |      1 |     100.0%
189        |   Min Events |      1 |     100.0%
190        |   Event Load |      1 |     100.0%
191        |      Min ECT |      1 |     100.0%
193        |   Min Events |      1 |     100.0%
194        |   Event Load |      1 |     100.0%
195        |      Min ECT |      1 |     100.0%
196        |     ECT Load |      1 |     100.0%
197        |   Min Events |      1 |     100.0%
198        |   Event Load |      1 |     100.0%
202        |   Event Load |      1 |     100.0%
204        |     ECT Load |      1 |     100.0%
207        |      Min ECT |      1 |     100.0%
208        |     ECT Load |      1 |     100.0%
221        |   Min Events |      1 |     100.0%
222        |   Event Load |      1 |     100.0%
223        |      Min ECT |      1 |     100.0%
224        |     ECT Load |      1 |     100.0%
225        |   Min Events |      1 |     100.0%
226        |   Event Load |      1 |     100.0%
227        |      Min ECT |      1 |     100.0%
228        |     ECT Load |      1 |     100.0%
230        |   Event Load |      1 |     100.0%
231        |      Min ECT |      1 |     100.0%
232        |     ECT Load |      1 |     100.0%
313        |   Min Events |      1 |     100.0%
314        |   Event Load |      1 |     100.0%
317        |   Min Events |      1 |     100.0%
319        |      Min ECT |      1 |     100.0%
321        |   Min Events |      1 |     100.0%
322        |   Event Load |      1 |     100.0%
323        |      Min ECT |      1 |     100.0%
325        |   Min Events |      1 |     100.0%
330        |   Event Load |      1 |     100.0%
331        |      Min ECT |      1 |     100.0%
334        |   Event Load |      1 |     100.0%
336        |     ECT Load |      1 |     100.0%
337        |   Min Events |      1 |     100.0%
338        |   Event Load |      1 |     100.0%
339        |      Min ECT |      1 |     100.0%
340        |     ECT Load |      1 |     100.0%
341        |   Min Events |      1 |     100.0%
342        |   Event Load |      1 |     100.0%
343        |      Min ECT |      1 |     100.0%
344        |     ECT Load |      1 |     100.0%
345        |   Min Events |      1 |     100.0%
346        |   Event Load |      1 |     100.0%
347        |      Min ECT |      1 |     100.0%
349        |   Min Events |      1 |     100.0%
351        |      Min ECT |      1 |     100.0%
353        |   Min Events |      1 |     100.0%
355        |      Min ECT |      1 |     100.0%
356        |     ECT Load |      1 |     100.0%
357        |   Min Events |      1 |     100.0%
358        |   Event Load |      1 |     100.0%
360        |     ECT Load |      1 |     100.0%
362        |   Event Load |      1 |     100.0%
363        |      Min ECT |      1 |     100.0%
364        |     ECT Load |      1 |     100.0%
377        |   Min Events |      1 |     100.0%
378        |   Event Load |      1 |     100.0%
379        |      Min ECT |      1 |     100.0%
380        |     ECT Load |      1 |     100.0%
381        |   Min Events |      1 |     100.0%
382        |   Event Load |      1 |     100.0%
383        |      Min ECT |      1 |     100.0%
384        |     ECT Load |      1 |     100.0%
385        |   Min Events |      1 |     100.0%
386        |   Event Load |      1 |     100.0%
387        |      Min ECT |      1 |     100.0%
413        |   Min Events |      1 |     100.0%
469        |   Min Events |      1 |     100.0%
470        |   Event Load |      1 |     100.0%
471        |      Min ECT |      1 |     100.0%
473        |   Min Events |      1 |     100.0%
474        |   Event Load |      1 |     100.0%
475        |      Min ECT |      1 |     100.0%
476        |     ECT Load |      1 |     100.0%
477        |   Min Events |      1 |     100.0%
478        |   Event Load |      1 |     100.0%
479        |      Min ECT |      1 |     100.0%
480        |     ECT Load |      1 |     100.0%
481        |   Min Events |      1 |     100.0%
483        |      Min ECT |      1 |     100.0%
486        |   Event Load |      1 |     100.0%
490        |   Event Load |      1 |     100.0%
493        |   Min Events |      1 |     100.0%
494        |   Event Load |      1 |     100.0%
495        |      Min ECT |      1 |     100.0%
496        |     ECT Load |      1 |     100.0%
498        |   Event Load |      1 |     100.0%
499        |      Min ECT |      1 |     100.0%
501        |   Min Events |      1 |     100.0%
502        |   Event Load |      1 |     100.0%
503        |      Min ECT |      1 |     100.0%
504        |     ECT Load |      1 |     100.0%
505        |   Min Events |      1 |     100.0%
507        |      Min ECT |      1 |     100.0%
510        |   Event Load |      1 |     100.0%
511        |      Min ECT |      1 |     100.0%
516        |     ECT Load |      1 |     100.0%
520        |     ECT Load |      1 |     100.0%
533        |   Min Events |      1 |     100.0%
534        |   Event Load |      1 |     100.0%
535        |      Min ECT |      1 |     100.0%
536        |     ECT Load |      1 |     100.0%
537        |   Min Events |      1 |     100.0%
538        |   Event Load |      1 |     100.0%
541        |   Min Events |      1 |     100.0%
542        |   Event Load |      1 |     100.0%
543        |      Min ECT |      1 |     100.0%
544        |     ECT Load |      1 |     100.0%
563        |      Min ECT |      1 |     100.0%
576        |     ECT Load |      1 |     100.0%
587        |      Min ECT |      1 |     100.0%
606        |   Event Load |      1 |     100.0%
620        |     ECT Load |      1 |     100.0%
625        |   Min Events |      1 |     100.0%
626        |   Event Load |      1 |     100.0%
627        |      Min ECT |      1 |     100.0%
628        |     ECT Load |      1 |     100.0%
629        |   Min Events |      1 |     100.0%
630        |   Event Load |      1 |     100.0%
631        |      Min ECT |      1 |     100.0%
632        |     ECT Load |      1 |     100.0%
633        |   Min Events |      1 |     100.0%
634        |   Event Load |      1 |     100.0%
636        |     ECT Load |      1 |     100.0%
642        |   Event Load |      1 |     100.0%
643        |      Min ECT |      1 |     100.0%
647        |      Min ECT |      1 |     100.0%
649        |   Min Events |      1 |     100.0%
651        |      Min ECT |      1 |     100.0%
652        |     ECT Load |      1 |     100.0%
653        |   Min Events |      1 |     100.0%
655        |      Min ECT |      1 |     100.0%
656        |     ECT Load |      1 |     100.0%
657        |   Min Events |      1 |     100.0%
658        |   Event Load |      1 |     100.0%
660        |     ECT Load |      1 |     100.0%
662        |   Event Load |      1 |     100.0%
663        |      Min ECT |      1 |     100.0%
665        |   Min Events |      1 |     100.0%
674        |   Event Load |      1 |     100.0%
676        |     ECT Load |      1 |     100.0%
689        |   Min Events |      1 |     100.0%
690        |   Event Load |      1 |     100.0%
691        |      Min ECT |      1 |     100.0%
692        |     ECT Load |      1 |     100.0%
693        |   Min Events |      1 |     100.0%
694        |   Event Load |      1 |     100.0%
695        |      Min ECT |      1 |     100.0%
697        |   Min Events |      1 |     100.0%
698        |   Event Load |      1 |     100.0%
699        |      Min ECT |      1 |     100.0%
700        |     ECT Load |      1 |     100.0%
731        |      Min ECT |      1 |     100.0%
737        |   Min Events |      1 |     100.0%
742        |   Event Load |      1 |     100.0%
748        |     ECT Load |      1 |     100.0%
781        |   Min Events |      1 |     100.0%
783        |      Min ECT |      1 |     100.0%
784        |     ECT Load |      1 |     100.0%
786        |   Event Load |      1 |     100.0%
787        |      Min ECT |      1 |     100.0%
789        |   Min Events |      1 |     100.0%
790        |   Event Load |      1 |     100.0%
791        |      Min ECT |      1 |     100.0%
792        |     ECT Load |      1 |     100.0%
795        |      Min ECT |      1 |     100.0%
799        |      Min ECT |      1 |     100.0%
803        |      Min ECT |      1 |     100.0%
805        |   Min Events |      1 |     100.0%
806        |   Event Load |      1 |     100.0%
807        |      Min ECT |      1 |     100.0%
808        |     ECT Load |      1 |     100.0%
809        |   Min Events |      1 |     100.0%
810        |   Event Load |      1 |     100.0%
813        |   Min Events |      1 |     100.0%
814        |   Event Load |      1 |     100.0%
815        |      Min ECT |      1 |     100.0%
821        |   Min Events |      1 |     100.0%
826        |   Event Load |      1 |     100.0%
828        |     ECT Load |      1 |     100.0%
829        |   Min Events |      1 |     100.0%
831        |      Min ECT |      1 |     100.0%
832        |     ECT Load |      1 |     100.0%
845        |   Min Events |      1 |     100.0%
846        |   Event Load |      1 |     100.0%
847        |      Min ECT |      1 |     100.0%
849        |   Min Events |      1 |     100.0%
850        |   Event Load |      1 |     100.0%
851        |      Min ECT |      1 |     100.0%
852        |     ECT Load |      1 |     100.0%
853        |   Min Events |      1 |     100.0%
854        |   Event Load |      1 |     100.0%
855        |      Min ECT |      1 |     100.0%
856        |     ECT Load |      1 |     100.0%
887        |      Min ECT |      1 |     100.0%
897        |   Min Events |      1 |     100.0%
903        |      Min ECT |      1 |     100.0%
925        |   Min Events |      1 |     100.0%
937        |   Min Events |      1 |     100.0%
938        |   Event Load |      1 |     100.0%
939        |      Min ECT |      1 |     100.0%
940        |     ECT Load |      1 |     100.0%
941        |   Min Events |      1 |     100.0%
943        |      Min ECT |      1 |     100.0%
945        |   Min Events |      1 |     100.0%
946        |   Event Load |      1 |     100.0%
947        |      Min ECT |      1 |     100.0%
948        |     ECT Load |      1 |     100.0%
949        |   Min Events |      1 |     100.0%
959        |      Min ECT |      1 |     100.0%
961        |   Min Events |      1 |     100.0%
962        |   Event Load |      1 |     100.0%
963        |      Min ECT |      1 |     100.0%
964        |     ECT Load |      1 |     100.0%
965        |   Min Events |      1 |     100.0%
966        |   Event Load |      1 |     100.0%
968        |     ECT Load |      1 |     100.0%
969        |   Min Events |      1 |     100.0%
970        |   Event Load |      1 |     100.0%
971        |      Min ECT |      1 |     100.0%
972        |     ECT Load |      1 |     100.0%
973        |   Min Events |      1 |     100.0%
979        |      Min ECT |      1 |     100.0%
984        |     ECT Load |      1 |     100.0%
987        |      Min ECT |      1 |     100.0%
988        |     ECT Load |      1 |     100.0%
--------------------------------------------------
